ID,头状花序,花心,内侧颜色,内侧主色,内侧次色
BJJH001,04,00,01,05,00
BJJH002,03,01,01,10,00
BJJH003,04,00,01,01,00
BJJH004,03,01,01,06,00
BJJH005,03,01,01,08,00
BJJH006,03,01,01,06,00
BJJH007,03,01,01,09,00
BJJH008,03,01,01,09,00
BJJH009,03,02,01,06,00
BJJH010,03,01,01,07,00
BJJH011,03,01,01,01,00
BJJH012,03,01,01,08,00
BJJH013,03,01,01,04,00
BJJH014,02,02,01,05,00
BJJH015,03,01,02,09,01
BJJH016,04,00,01,07,00
BJJH017,03,01,02,05,06
BJJH018,03,01,01,09,00
BJJH019,04,00,01,05,00
BJJH020,03,01,01,09,00
BJJH021,03,01,01,10,00
KMJH001,05,00,01,05,00
KMJH002,05,00,01,05,00
KMJH003,05,00,01,07,00
KMJH004,04,00,01,05,00
KMJH005,05,00,01,08,00
KMJH006,04,00,01,08,00
KMJH007,04,00,01,08,00
KMJH008,03,02,01,07,00
KMJH009,03,02,01,07,00
KMJH010,04,00,01,01,00
KMJH011,04,00,01,01,00
KMJH012,04,00,01,08,00
KMJH013,04,00,01,08,00
KMJH014,05,00,01,01,00
KMJH015,04,00,01,05,00
KMJH016,04,00,01,05,00
KMJH017,04,00,01,09,00
KMJH019,04,00,01,01,00
KMJH020,05,00,01,01,00
KMJH021,05,00,01,05,00
KMJH022,04,00,01,05,00
KMJH023,04,00,01,01,00
KMJH024,04,00,01,01,00
KMJH025,04,00,01,10,00
KMJH026,04,00,01,10,00
KMJH027,04,00,01,05,00
KMJH028,04,00,01,05,00
KMJH029,05,00,01,05,00
KMJH030,05,00,01,05,00
KMJH031,05,00,01,08,00
KMJH032,05,00,01,08,00
KMJH033,05,00,01,07,00
KMJH034,05,00,01,07,00
KMJH035,05,00,01,10,00
KMJH036,05,00,01,10,00
KMJH037,05,00,01,10,00
KMJH038,05,00,01,10,00
KMJH039,03,01,01,05,00
KMJH040,03,01,01,04,00
KMJH041,03,01,01,04,00
KMJH042,03,01,01,04,00
KMJH043,03,01,01,04,00
KMJH044,03,01,02,09,07
KMJH045,03,01,01,04,00
KMJH046,03,01,01,06,00
KMJH047,03,01,01,06,00
KMJH048,05,00,01,05,00
KMJH049,05,00,01,05,00
KMJH050,03,02,02,07,10
KMJH051,03,02,02,07,08
KMJH052,05,00,01,07,00
KMJH053,05,00,01,01,00
KMJH054,05,00,01,09,00
KMJH055,05,00,01,07,00
KMJH056,03,01,01,10,00
KMJH057,03,01,01,09,00
KMJH058,03,01,01,09,00
KMJH059,03,01,01,10,00
KMJH060,05,00,01,10,00
KMJH061,05,00,01,07,00
KMJH062,05,00,02,08,02
KMJH063,05,00,02,10,02
KMJH064,05,00,02,07,10
KMJH065,05,00,01,01,00
KMJH066,03,01,01,09,00
KMJH067,03,01,01,09,00
